Date,Time,HeartRate
2022-12-20,00:09:18,98
2022-12-20,00:09:18,99
2022-12-20,00:09:19,99
2022-12-20,00:09:21,99
2022-12-20,00:09:22,99
2022-12-20,00:09:23,99
2022-12-20,00:09:24,99
2022-12-20,00:09:25,98
2022-12-20,00:09:25,97
2022-12-20,00:09:26,96
2022-12-20,00:09:28,96
2022-12-20,00:09:29,97
2022-12-20,00:09:29,97
2022-12-20,00:09:30,97
2022-12-20,00:09:31,98
2022-12-20,00:09:32,99
2022-12-20,00:09:34,99
2022-12-20,00:09:34,99
2022-12-20,00:09:36,99
2022-12-20,00:09:36,98
2022-12-20,00:09:39,96
2022-12-20,00:09:39,95
2022-12-20,00:09:40,94
2022-12-20,00:09:42,94
2022-12-20,00:09:42,93
2022-12-20,00:09:43,92
2022-12-20,00:09:43,93
2022-12-20,00:09:44,93
2022-12-20,00:09:45,93
2022-12-20,00:09:46,94
2022-12-20,00:09:47,94
2022-12-20,00:09:48,95
2022-12-20,00:09:49,95
2022-12-20,00:09:50,96
2022-12-20,00:09:51,97
2022-12-20,00:09:52,98
2022-12-20,00:09:54,98
2022-12-20,00:09:56,98
2022-12-20,00:09:56,97
2022-12-20,00:09:56,96
2022-12-20,00:09:57,96
2022-12-20,00:09:58,95
2022-12-20,00:09:59,94
2022-12-20,00:10:00,94
2022-12-20,00:10:01,94
2022-12-20,00:10:02,94
2022-12-20,00:10:03,94
2022-12-20,00:10:06,94
2022-12-20,00:10:06,94
2022-12-20,00:10:06,95
2022-12-20,00:10:08,95
2022-12-20,00:10:08,96
2022-12-20,00:10:09,95
2022-12-20,00:10:11,94
2022-12-20,00:10:12,94
2022-12-20,00:10:14,93
2022-12-20,00:10:14,93
2022-12-20,00:10:15,93
2022-12-20,00:10:15,93
2022-12-20,00:10:17,93
2022-12-20,00:10:18,92
2022-12-20,00:10:19,93
2022-12-20,00:10:20,93
2022-12-20,00:10:22,93
2022-12-20,00:10:22,93
2022-12-20,00:10:22,93
2022-12-20,00:10:23,93
2022-12-20,00:10:24,93
2022-12-20,00:10:25,91
2022-12-20,00:10:26,88
2022-12-20,00:10:27,87
2022-12-20,00:10:30,86
2022-12-20,00:10:30,85
2022-12-20,00:10:31,85
2022-12-20,00:10:31,87
2022-12-20,00:10:32,90
2022-12-20,00:10:34,90
2022-12-20,00:10:34,90
2022-12-20,00:10:37,90
2022-12-20,00:10:37,88
2022-12-20,00:10:37,86
2022-12-20,00:10:38,85
2022-12-20,00:10:40,85
2022-12-20,00:10:40,86
2022-12-20,00:10:41,87
2022-12-20,00:10:42,88
2022-12-20,00:10:43,90
2022-12-20,00:10:44,90
2022-12-20,00:10:45,92
2022-12-20,00:10:46,92
2022-12-20,00:10:47,92
2022-12-20,00:10:48,93
2022-12-20,00:10:49,93
2022-12-20,00:10:51,93
2022-12-20,00:10:51,93
2022-12-20,00:10:52,93
2022-12-20,00:10:54,93
2022-12-20,00:10:55,94
2022-12-20,00:10:55,94
2022-12-20,00:10:56,95
2022-12-20,00:10:57,95
2022-12-20,00:10:58,95
2022-12-20,00:11:00,94
2022-12-20,00:11:00,94
2022-12-20,00:11:01,94
2022-12-20,00:11:02,94
2022-12-20,00:11:03,94
2022-12-20,00:11:04,94
2022-12-20,00:11:06,94
2022-12-20,00:11:06,94
2022-12-20,00:11:07,94
2022-12-20,00:11:08,95
2022-12-20,00:11:10,95
2022-12-20,00:11:10,95
2022-12-20,00:11:11,95
2022-12-20,00:11:13,95
2022-12-20,00:11:15,95
2022-12-20,00:11:16,95
2022-12-20,00:11:16,94
2022-12-20,00:11:16,94
2022-12-20,00:11:18,95
2022-12-20,00:11:19,95
2022-12-20,00:11:19,95
2022-12-20,00:11:21,95
2022-12-20,00:11:21,96
2022-12-20,00:11:22,96
2022-12-20,00:11:23,97
2022-12-20,00:11:24,98
2022-12-20,00:11:25,99
2022-12-20,00:11:28,99
2022-12-20,00:11:28,99
2022-12-20,00:11:28,99
2022-12-20,00:11:29,99
2022-12-20,00:11:30,99
2022-12-20,00:11:31,99
2022-12-20,00:11:32,99
2022-12-20,00:11:33,99
2022-12-20,00:11:35,99
2022-12-20,00:11:36,99
2022-12-20,00:11:36,99
2022-12-20,00:11:37,99
2022-12-20,00:11:40,100
2022-12-20,00:11:40,100
2022-12-20,00:11:40,100
2022-12-20,00:11:42,100
2022-12-20,00:11:42,100
2022-12-20,00:11:43,100
2022-12-20,00:11:44,98
2022-12-20,00:11:45,97
2022-12-20,00:11:46,97
2022-12-20,00:11:47,94
2022-12-20,00:11:48,93
2022-12-20,00:11:49,93
2022-12-20,00:11:51,94
2022-12-20,00:11:51,95
2022-12-20,00:11:52,96
2022-12-20,00:11:55,97
2022-12-20,00:11:55,98
2022-12-20,00:11:55,99
2022-12-20,00:11:57,100
2022-12-20,00:11:57,100
2022-12-20,00:11:58,100
2022-12-20,00:12:00,99
2022-12-20,00:12:00,97
2022-12-20,00:12:03,95
2022-12-20,00:12:03,94
2022-12-20,00:12:04,94
2022-12-20,00:12:04,94
2022-12-20,00:12:06,94
2022-12-20,00:12:06,95
2022-12-20,00:12:07,95
2022-12-20,00:12:08,96
2022-12-20,00:12:12,96
2022-12-20,00:12:12,97
2022-12-20,00:12:12,97
2022-12-20,00:12:12,98
2022-12-20,00:12:13,98
2022-12-20,00:12:14,98
2022-12-20,00:12:15,98
2022-12-20,00:12:16,98
2022-12-20,00:12:17,98
2022-12-20,00:12:18,98
2022-12-20,00:12:19,98
2022-12-20,00:12:20,98
2022-12-20,00:12:21,98
2022-12-20,00:12:22,98
2022-12-20,00:12:23,97
2022-12-20,00:12:24,96
2022-12-20,00:12:25,96
2022-12-20,00:12:27,95
2022-12-20,00:12:28,95
2022-12-20,00:12:28,94
2022-12-20,00:12:30,94
2022-12-20,00:12:30,94
2022-12-20,00:12:31,94
2022-12-20,00:12:33,94
2022-12-20,00:12:33,94
2022-12-20,00:12:34,94
2022-12-20,00:12:36,95
2022-12-20,00:12:36,95
2022-12-20,00:12:37,95
2022-12-20,00:12:39,95
2022-12-20,00:12:39,95
2022-12-20,00:12:40,94
2022-12-20,00:12:42,94
2022-12-20,00:12:42,94
2022-12-20,00:12:43,94
2022-12-20,00:12:44,95
2022-12-20,00:12:45,96
2022-12-20,00:12:48,96
2022-12-20,00:12:48,97
2022-12-20,00:12:49,98
2022-12-20,00:12:50,98
2022-12-20,00:12:50,97
2022-12-20,00:12:52,97
2022-12-20,00:12:53,97
2022-12-20,00:12:53,97
2022-12-20,00:12:54,97
2022-12-20,00:12:55,97
2022-12-20,00:12:57,97
2022-12-20,00:12:58,97
2022-12-20,00:12:58,96
2022-12-20,00:13:00,96
2022-12-20,00:13:01,96
2022-12-20,00:13:01,96
2022-12-20,00:13:02,96
2022-12-20,00:13:03,97
2022-12-20,00:13:04,97
2022-12-20,00:13:05,98
2022-12-20,00:13:07,99
2022-12-20,00:13:07,99
2022-12-20,00:13:08,99
2022-12-20,00:13:10,98
2022-12-20,00:13:10,98
2022-12-20,00:13:11,98
2022-12-20,00:13:12,98
2022-12-20,00:13:13,98
2022-12-20,00:13:14,98
2022-12-20,00:13:16,98
2022-12-20,00:13:16,98
2022-12-20,00:13:18,98
2022-12-20,00:13:18,98
2022-12-20,00:13:19,99
2022-12-20,00:13:20,98
2022-12-20,00:13:22,98
2022-12-20,00:13:22,97
2022-12-20,00:13:23,97
