0,1,2
2022-12-09,08:10:45.956000,95
2022-12-09,08:10:46.962000,95
2022-12-09,08:10:47.868000,95
2022-12-09,08:10:48.874000,95
2022-12-09,08:10:50.888000,95
2022-12-09,08:10:51.392000,95
2022-12-09,08:10:52.398000,95
2022-12-09,08:10:53.303000,95
2022-12-09,08:10:54.308000,95
2022-12-09,08:10:55.315000,96
2022-12-09,08:10:56.826000,95
2022-12-09,08:10:57.833000,96
2022-12-09,08:10:58.838000,96
2022-12-09,08:10:59.241000,96
2022-12-09,08:11:00.249000,96
2022-12-09,08:11:01.256000,96
2022-12-09,08:11:02.263000,96
2022-12-09,08:11:03.270000,96
2022-12-09,08:11:04.277000,96
2022-12-09,08:11:05.686000,97
2022-12-09,08:11:06.190000,97
2022-12-09,08:11:07.701000,97
2022-12-09,08:11:08.204000,98
2022-12-09,08:11:09.209000,97
2022-12-09,08:11:10.216000,98
2022-12-09,08:11:11.122000,98
2022-12-09,08:11:12.127000,98
2022-12-09,08:11:13.132000,97
2022-12-09,08:11:14.138000,96
2022-12-09,08:11:15.145000,96
2022-12-09,08:11:16.153000,96
2022-12-09,08:11:17.160000,96
2022-12-09,08:11:18.065000,96
2022-12-09,08:11:19.073000,96
2022-12-09,08:11:20.079000,95
2022-12-09,08:11:21.086000,94
2022-12-09,08:11:22.094000,94
2022-12-09,08:11:23.099000,93
2022-12-09,08:11:24.006000,93
2022-12-09,08:11:25.013000,93
2022-12-09,08:11:26.019000,93
2022-12-09,08:11:27.026000,93
2022-12-09,08:11:28.031000,94
2022-12-09,08:11:29.037000,94
2022-12-09,08:11:29.943000,94
2022-12-09,08:11:30.948000,95
2022-12-09,08:11:31.954000,94
2022-12-09,08:11:32.959000,94
2022-12-09,08:11:33.966000,94
2022-12-09,08:11:34.972000,94
2022-12-09,08:11:35.877000,94
2022-12-09,08:11:36.884000,95
2022-12-09,08:11:37.890000,95
2022-12-09,08:11:39.399000,95
2022-12-09,08:11:40.405000,96
2022-12-09,08:11:41.411000,96
2022-12-09,08:11:42.316000,95
2022-12-09,08:11:43.322000,96
2022-12-09,08:11:44.327000,95
2022-12-09,08:11:45.333000,95
2022-12-09,08:11:46.841000,94
2022-12-09,08:11:47.344000,94
2022-12-09,08:11:48.250000,93
2022-12-09,08:11:49.254000,93
2022-12-09,08:11:50.259000,93
2022-12-09,08:11:51.266000,93
2022-12-09,08:11:52.272000,93
2022-12-09,08:11:53.276000,93
2022-12-09,08:11:54.284000,94
2022-12-09,08:11:55.690000,94
2022-12-09,08:11:56.193000,94
2022-12-09,08:11:57.200000,94
2022-12-09,08:11:58.207000,94
2022-12-09,08:11:59.212000,94
2022-12-09,08:12:00.220000,94
2022-12-09,08:12:01.125000,94
2022-12-09,08:12:02.131000,94
2022-12-09,08:12:03.137000,94
2022-12-09,08:12:04.141000,94
2022-12-09,08:12:05.147000,94
2022-12-09,08:12:06.153000,94
2022-12-09,08:12:07.160000,94
2022-12-09,08:12:08.065000,94
2022-12-09,08:12:09.071000,94
2022-12-09,08:12:10.078000,94
2022-12-09,08:12:11.081000,94
2022-12-09,08:12:12.087000,94
2022-12-09,08:12:13.092000,94
2022-12-09,08:12:13.997000,94
2022-12-09,08:12:15.003000,94
2022-12-09,08:12:16.009000,94
2022-12-09,08:12:17.015000,94
2022-12-09,08:12:18.021000,94
2022-12-09,08:12:19.027000,95
2022-12-09,08:12:19.934000,95
2022-12-09,08:12:20.938000,96
2022-12-09,08:12:21.944000,96
2022-12-09,08:12:22.951000,97
2022-12-09,08:12:23.957000,97
2022-12-09,08:12:24.964000,97
2022-12-09,08:12:25.870000,95
2022-12-09,08:12:26.877000,94
2022-12-09,08:12:27.884000,93
2022-12-09,08:12:29.395000,92
2022-12-09,08:12:30.402000,91
2022-12-09,08:12:31.409000,91
2022-12-09,08:12:32.315000,91
2022-12-09,08:12:33.322000,91
2022-12-09,08:12:34.329000,92
2022-12-09,08:12:35.337000,92
2022-12-09,08:12:36.344000,92
2022-12-09,08:12:37.350000,93
2022-12-09,08:12:38.255000,93
2022-12-09,08:12:39.263000,93
2022-12-09,08:12:40.269000,93
2022-12-09,08:12:41.276000,93
2022-12-09,08:12:42.283000,93
2022-12-09,08:12:43.289000,93
2022-12-09,08:12:44.194000,93
2022-12-09,08:12:45.201000,93
2022-12-09,08:12:46.710000,93
2022-12-09,08:12:47.214000,93
2022-12-09,08:12:48.220000,94
2022-12-09,08:12:49.225000,94
2022-12-09,08:12:50.131000,93
2022-12-09,08:12:51.137000,94
2022-12-09,08:12:52.144000,94
2022-12-09,08:12:53.150000,94
